Unit2,Stimulus,ID.x,Region,Trial,Letter,StimSet,base_fr,stim_fr,basesd,stimsd,Z_score,stimID,Duration.s,FamUnfamSpecies,Species,FamUnfam,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Depth,ISI.check,Peak_V,Trough_V,Peak.to.Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes,Accuracy.rcorr,Accuracy.count,Accuracy.cross_corr,normal_rcorr,normal_count,normal_cross_corr,Latency,p.value,sigYN,Peak2PeakRatio,Type0,TypeBN,TypeFL,RS_WN,pop_var_WN
C1_FL_TRIAL5_B,3,C1,FL,5,B,C1,2.333333333,2.235294118,1.2344268,1.070892929,-0.074402973,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.36,x,0.515,-0.0859,0.000239989,NA,Good,N,Y,Trough before peak,0.100769231,0.391076923,0.254692308,-0.099230769,0.191076923,0.054692308,NA,0.571892264,N,0.166796117,Field L,Field L,Narrow,-0.098039215,1.786697424
C1_FL_TRIAL6_A,3,C1,FL,6,A,C1,3.933333333,5.137254902,1.486446706,1.757220352,0.51472199,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.41,x,-0.644,0.422,0.000179999,NA,Good,N,N,Inverted,0.128769231,0.662384615,0.189923077,-0.071230769,0.462384615,-0.010076923,0.35,0.073543888,N,0.655279503,Field L,Field L,Narrow,1.203921569,5.435693964
C1_FL_TRIAL8_A,4,C1,FL,8,A,C12,4.133333333,3.333333333,2.695675549,1.895263846,-0.233290403,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,L,1.29,x,-1.217,0.244,0.000240001,NA,Good,N,N,STIM SET 2 Inverted,0.156642857,0.324428571,0.181571429,-0.043357143,0.124428571,-0.018428571,NA,0.55085448,N,0.200493016,Field L,Field L,Narrow,-0.8,11.6511188
C1_FL_TRIAL9_A,4,C1,FL,9,A,C12,6.4,7.568627451,3.224903099,2.403518045,0.416085766,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,L,1.34,x,-1.085,0.595,0.000240007,NA,Bad,N,N,STIM SET 2 Inverted,0.154692308,0.338923077,0.170923077,-0.045307692,0.138923077,-0.029076923,NA,0.181794921,N,0.548387097,Field L,Field L,Narrow,1.168627451,8.369027296
C1_FL_TRIAL9_B,4,C1,FL,9,B,C12,2.733333333,2.392156863,1.486446706,1.165212238,-0.243543427,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,L,1.34,x,-1.154,0.535,0.000538728,NA,Bad,N,N,STIM SET 2 Inverted,0.152076923,0.207,0.168461538,-0.047923077,0.007,-0.031538462,NA,0.887042291,N,0.463604853,Field L,Field L,Broad,-0.34117647,2.05361015
C1_NCM_TRIAL2_A,3,C1,NCM,2,A,C1,3.785714286,2.899159664,2.293085641,1.5727295,-0.348409632,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.58,x,0.4014,-0.0498,0.000239973,NA,Good,N,Y,Actually had double hyperpolarization hump but I measured the first one,0.106076923,0.578153846,0.167692308,-0.093923077,0.378153846,-0.032307692,NA,0.300170805,N,0.12406577,NS1,Narrow,NCM,-0.886554622,6.52519243
C1_NCM_TRIAL3_A,3,C1,NCM,3,A,C1,2.714285714,1.890756302,1.728875643,0.928035278,-0.384656979,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.63,x,0.3466,-0.06,0.000540002,NA,Good,N,N,,0.145153846,0.468230769,0.273230769,-0.054846154,0.268230769,0.073230769,NA,0.209062103,N,0.173110214,Broad,Broad,NCM,-0.823529412,4.511616411
C1_NCM_TRIAL6_A,3,C1,NCM,6,A,C1,2.466666667,1.764705882,1.807392228,1.507929281,-0.316498961,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,R,1.78,x,0.3386,-0.0517,0.00107999,NA,Bad,N,N,"Might not be auditory, maybe likes Stim1?",0.148846154,0.293615385,0.257384615,-0.051153846,0.093615385,0.057384615,NA,0.285881445,N,0.152687537,Broad,Broad,NCM,-0.701960785,4.93585544
C1_NCM_TRIAL7_A,3,C1,NCM,7,A,C1,3.6,3.607843137,2.720294102,1.804408654,0.003506043,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,L,1.21,x,0.4398,-0.0647,0.00126,NA,Good,N,Y,Double-troughed (could be a narrow unit if measure the other one…),0.208142857,0.191214286,0.245214286,0.008142857,-0.008785714,0.045214286,NA,0.753375133,N,0.147112324,Broad,Broad,NCM,0.007843137,5.33373318
C1_NCM_TRIAL9_A,4,C1,NCM,9,A,C12,1.8,2,1.61245155,0.825926883,0.111549124,WN,1.7,WN_WN,WN,WN,C,xfostered,23,2,10,10/24/21,15,L,1.3,x,0.494,-0.1259,9.00E-04,NA,Good,N,N,STIM SET 2 Only likes 2 of the stimuli?,0.146923077,0.241615385,0.159307692,-0.053076923,0.041615385,-0.040692308,NA,0.589122222,N,0.2548583,Broad,Broad,NCM,0.2,3.204521338
C2_NCM_TRIAL1_A,3,C2,NCM,1,A,C22,0.833333333,1.862745098,0.98319208,1.013177309,0.755395683,WN,1.7,WN_WN,WN,WN,C,normal,22,2,12.6,10/23/21,15,R,1.17,ok,0.4971,-0.0928,0.001020215,NA,Good,N,N,,0.445,0.5958,0.6374,0.245,0.3958,0.4374,0.25,0.21875,N,0.18668276,Broad,Broad,NCM,1.029411765,1.824394464
C2_NCM_TRIAL1_B,3,C2,NCM,1,B,C22,1,2.745098039,0.894427191,1.809879335,1.319423784,WN,1.7,WN_WN,WN,WN,C,normal,22,2,12.6,10/23/21,15,R,1.17,ok,-0.5291,0,0.00132,NA,Bad,N,N,"Inverted, really fat",0.2,0.2972,0.2782,0,0.0972,0.0782,0.115,0.0625,N,0,Broad,Broad,NCM,1.745098039,2.023836986
C4_FL_TRIAL3_A,3,C4,FL,3,A,C4,1.4,2.509803921,1.121223821,1.053831994,0.724834061,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.08,x,-0.927,0.169,0.000598735,NA,Good,N,N,Inverted,0.160857143,0.486,0.276285714,-0.039142857,0.286,0.076285714,0.045,0.024664187,Y,0.182308522,Field L,Field L,Broad,1.109803921,2.335347944
C4_FL_TRIAL3_B,3,C4,FL,3,B,C4,0.933333333,2.470588235,1.162919151,1.666749051,0.76008969,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.08,bad,0.82,-0.077,0.00126,NA,Bad,N,N,,0.2165,0.515571429,0.2665,0.0165,0.315571429,0.0665,0.01,0.018350515,Y,0.093902439,Field L,Field L,Broad,1.537254902,4.07467897
C4_FL_TRIAL3_C,3,C4,FL,3,C,C4,0.8,2.823529412,0.676123404,1.575266064,1.159578586,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.08,ok,-0.868,0.088,0.000180001,NA,Good,N,N,inverted,0.181714286,0.573928571,0.278928571,-0.018285714,0.373928571,0.078928571,0.265,0.001578546,Y,0.101382488,Field L,Field L,Narrow,2.023529412,3.025051903
C4_FL_TRIAL4_A,3,C4,FL,4,A,C4,2.8,9.176470588,1.521277659,3.49987642,1.814543908,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.13,x,-0.938,0.31,0.000239985,NA,Good,N,N,inverted,0.460357143,0.558642857,0.536,0.260357143,0.358642857,0.336,0.02,6.10E-05,Y,0.330490405,Field L,Field L,Narrow,6.376470588,12.43174164
C4_FL_TRIAL5_A,3,C4,FL,5,A,C4,2.785714286,6.974789916,1.42389344,2.22332043,1.741292292,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.18,x,-0.4775,0.054,0.0005999,NA,Good,N,N,Inverted,0.246692308,0.383615385,0.283153846,0.046692308,0.183615385,0.083153846,0.055,0.00109394,Y,0.113089005,Field L,Field L,Broad,4.18907563,5.836469883
C4_FL_TRIAL5_B,3,C4,FL,5,B,C4,3.928571429,8.739495798,2.268997939,3.042220366,1.268537072,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.18,x,0.449,0.0164,0.001,NA,Duplicate,N,N,,0.291153846,0.339153846,0.362307692,0.091153846,0.139153846,0.162307692,0.02,0.000610352,Y,0.036525612,Field L,Field L,Broad,4.810924369,14.31101264
C4_FL_TRIAL6_A,3,C4,FL,6,A,C4,0.733333333,2.274509804,0.961150105,1.349954077,1.004109295,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.23,ok,-0.689,0.121,0.000720211,NA,Good,N,N,Inverted,0.191833333,0.32375,0.243,-0.008166667,0.12375,0.043,0.025,0.004698172,Y,0.175616836,Field L,Field L,Broad,1.541176471,2.369642446
C4_FL_TRIAL7_A,3,C4,FL,7,A,C4,2.266666667,4.196078431,2.016597795,2.14255504,0.740967457,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.28,x,-0.516,0.0747,0.000540003,NA,Good,N,N,Inverted,0.228846154,0.351846154,0.274846154,0.028846154,0.151846154,0.074846154,0.125,0.024838727,Y,0.144767442,Field L,Field L,Broad,1.929411764,6.86698962
C4_FL_TRIAL7_B,3,C4,FL,7,B,C4,1.8,3.058823529,1.207121724,1.902206228,0.535447668,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.28,x,0.5016,0.04,0.000240046,NA,Duplicate,N,N,Trough before peak,0.425923077,0.467230769,0.484461538,0.225923077,0.267230769,0.284461538,0.035,0.181794921,N,0.079744817,Field L,Field L,Narrow,1.258823529,5.474417532
C4_FL_TRIAL8_A,3,C4,FL,8,A,C4,1.666666667,3.215686275,1.496026483,1.570027387,0.764127973,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.38,ok,-0.4688,0.0677,0.0011,NA,Bad,N,N,Low S:N,0.308615385,0.319769231,0.242923077,0.108615385,0.119769231,0.042923077,0.11,0.015743346,Y,0.144411263,Field L,Field L,Broad,1.549019608,4.128104576
C4_FL_TRIAL9_A,3,C4,FL,9,A,C4,6,15.46218487,2.908872369,3.274574962,2.351980055,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.43,x,-0.521,0.0849,0.000664,NA,Good,N,N,"Inverted, reclassified",0.313615385,0.472461538,0.355769231,0.113615385,0.272461538,0.155769231,0.085,0.00012207,Y,0.162955854,Field L,Field L,Broad,9.46218487,16.30146176
C4_NCM_TRIAL5_A,3,C4,NCM,5,A,C4,1.071428571,1.344537815,0.82874193,1.163470514,0.225402708,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.12,ok,0.3306,-0.1224,0.00126,NA,Good,N,N,Fat shape,0.182153846,0.424153846,0.313692308,-0.017846154,0.224153846,0.113692308,0.045,0.50441094,N,0.370235935,Broad,Broad,NCM,0.273109244,1.498570016
C4_NCM_TRIAL6_A,3,C4,NCM,6,A,C4,0.933333333,0.470588235,1.099783528,0.455645099,-0.376884435,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.18,ok,-0.316,0.01396,0.00126,NA,Bad,N,N,Inverted and fat,0.123166667,0.562916667,0.278666667,-0.076833333,0.362916667,0.078666667,NA,0.229958547,N,0.044177215,Broad,Broad,NCM,-0.462745098,1.495209535
C4_NCM_TRIAL6_B,3,C4,NCM,6,B,C4,1.2,1.254901961,1.567527626,0.765890055,0.035045118,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.18,ok,0.3413,-0.0738,3.00E-04,NA,Good,N,N,,0.31675,0.733083333,0.408583333,0.11675,0.533083333,0.208583333,0.07,0.571512646,N,0.216232054,NS1,Narrow,NCM,0.054901961,2.480030757
C4_NCM_TRIAL7_A,3,C4,NCM,7,A,C4,0.733333333,0.62745098,0.798808637,0.565382414,-0.126245041,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.25,x,-0.33724,0,0.001321008,NA,Bad,N,N,Inverted with fat shape,0.160923077,0.321461538,0.287230769,-0.039076923,0.121461538,0.087230769,0.065,0.833584636,N,0,Broad,Broad,NCM,-0.105882353,0.716124567
C4_NCM_TRIAL7_B,3,C4,NCM,7,B,C4,2.333333333,4.549019608,2.581988897,3.255981732,0.77824029,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.25,x,0.37,-0.1276,3.00E-04,NA,Good,N,N,,0.242692308,0.446384615,0.297923077,0.042692308,0.246384615,0.097923077,0.21,0.0134686,Y,0.344864865,NS1,Narrow,NCM,2.215686275,8.639753945
C4_NCM_TRIAL8_A,3,C4,NCM,8,A,C4,2.266666667,2.392156863,1.869555588,1.414330069,0.068188108,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.35,ok,0.2288,-0.0119,0.0012,NA,Bad,N,N,Low S:N,0.228230769,0.287307692,0.262307692,0.028230769,0.087307692,0.062307692,0.025,0.842398284,N,0.05201049,Broad,Broad,NCM,0.125490196,3.503052672
C4_NCM_TRIAL9_A,3,C4,NCM,9,A,C4,3.071428571,5.420168067,1.859043828,2.215181863,0.744336818,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.4,x,0.2168,0.07559,3.00E-04,NA,Good,N,N,,0.461923077,0.564076923,0.517,0.261923077,0.364076923,0.317,0.035,0.032767031,Y,0.348662362,NS1,Narrow,NCM,2.348739496,9.800526093
C4_NCM_TRIAL9_B,3,C4,NCM,9,B,C4,2.785714286,3.277310924,1.928673176,1.812538556,0.26112784,WN,1.7,WN_WN,WN,WN,C,xfostered,26,3,8.3,10/28/21,15,R,1.4,x,-0.2208,2.00E-04,0.00132,NA,Bad,N,N,Inverted and fat,0.245230769,0.324230769,0.326384615,0.045230769,0.124230769,0.126384615,0.045,0.414216178,N,0.000905797,Broad,Broad,NCM,0.491596638,3.755614011
D1_FL_TRIAL1_A,4,D1,FL,1,A,D1,3.066666667,2.745098039,1.162919151,1.364522348,-0.189224467,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.2,bad,-1.158,0.311,0.000179999,NA,Good,N,N,Inverted but beautiful,0.186714286,0.270214286,0.216357143,-0.013285714,0.070214286,0.016357143,NA,0.378482364,N,0.268566494,Field L,Field L,Narrow,-0.321568628,2.895440216
D1_FL_TRIAL2_A,4,D1,FL,2,A,D1,2.866666667,3.254901961,1.846489591,1.601202382,0.297413224,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.25,x,-1.018,0.065,0.00126,NA,Good,N,N,,0.140785714,0.699214286,0.208214286,-0.059214286,0.499214286,0.008214286,NA,0.409725889,N,0.063850688,Field L,Field L,Broad,0.388235294,1.962076125
D1_FL_TRIAL2_B,4,D1,FL,2,B,D1,0.533333333,1.098039216,0.743223353,0.939774867,0.460724437,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.25,ok,0.918,-0.041,0.0012,NA,Duplicate,N,N,,0.095714286,0.601928571,0.290857143,-0.104285714,0.401928571,0.090857143,NA,0.18329636,N,0.044662309,Field L,Field L,Broad,0.564705883,1.491487889
D1_FL_TRIAL3_A,4,D1,FL,3,A,D1,3.466666667,4.156862745,1.641718032,1.905667934,0.289290954,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.31,ok?,-0.807,0.043,0.00126,NA,Bad,N,N,Double peaked,0.109928571,0.336928571,0.152571429,-0.090071429,0.136928571,-0.047428571,0.105,0.181530374,N,0.053283767,Field L,Field L,Broad,0.690196078,5.706328336
D1_FL_TRIAL3_B,4,D1,FL,3,B,D1,2.4,2.549019608,1.352246808,1.417820811,0.06830777,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.31,x,0.789,-0.077,0.00042,NA,Good,N,Y,Trough before peak,0.140571429,0.280071429,0.191642857,-0.059428571,0.080071429,-0.008357143,NA,0.798153497,N,0.097591888,Field L,Field L,Broad,0.149019608,4.680907344
D1_FL_TRIAL4_A,4,D1,FL,4,A,D1,1.733333333,2.784313725,1.437590577,1.206889653,0.579075124,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.37,x,-1.304,0.482,0.000479999,NA,Good,N,N,,0.177357143,0.272214286,0.243571429,-0.022642857,0.072214286,0.043571429,0.2,0.049873137,Y,0.369631902,Field L,Field L,Broad,1.050980392,3.293594772
D1_FL_TRIAL4_B,4,D1,FL,4,B,D1,1.866666667,1.960784314,0.915475416,1.551021647,0.068659642,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.37,bad,-1.213,0.259,0.00018,NA,Bad,N,N,,0.102785714,0.233571429,0.184071429,-0.097214286,0.033571429,-0.015928571,0.18,0.798193348,N,0.213520198,Field L,Field L,Narrow,0.094117647,1.95561707
D1_FL_TRIAL5_A,4,D1,FL,5,A,D1,3.6,4.078431373,2.501428163,1.866353574,0.154858608,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.37,x,-1.029,0.403,0.00036,NA,Good,N,N,,0.170214286,0.174142857,0.193357143,-0.029785714,-0.025857143,-0.006642857,0.35,0.561401367,N,0.391642371,Field L,Field L,Narrow,0.478431373,9.514586698
D1_FL_TRIAL7_A,4,D1,FL,7,A,D1,6,3.991596638,5.320497374,2.642566035,-0.58085185,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,R,1.37,x,-0.5426,0.0215,0.00126,NA,Good,N,N,,0.07,0.362,0.147230769,-0.13,0.162,-0.052769231,NA,0.063973783,N,0.039624032,Field L,Field L,Broad,-2.008403362,13.44234165
D1_FL_TRIAL8_A,4,D1,FL,8,A,D1,0.642857143,0.588235294,1.008208072,0.515916482,-0.059989816,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,R,1.42,ok,-0.979,0.169,6.00E-04,NA,Bad,N,N,,0.146230769,0.342769231,0.343769231,-0.053769231,0.142769231,0.143769231,0.385,0.721107923,N,0.172625128,Field L,Field L,Broad,-0.054621849,0.854900784
D1_FL_TRIAL8_B,4,D1,FL,8,B,D1,0.785714286,0.924369748,1.311403912,1.706651188,0.191089646,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,R,1.42,ok,0.851,-0.089,0.001259559,NA,Good,N,N,,0.166153846,0.441846154,0.372692308,-0.033846154,0.241846154,0.172692308,0.295,0.918067021,N,0.104582844,Field L,Field L,Broad,0.138655462,0.796147871
D1_NCM_TRIAL1_A,4,D1,NCM,1,A,D1,3.066666667,2.666666667,2.282438128,1.38608769,-0.211083912,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.58,x,0.4663,-0.0974,3.00E-04,NA,Good,N,N,,0.173142857,0.3285,0.243285714,-0.026857143,0.1285,0.043285714,NA,0.575520016,N,0.208878404,NS1,Narrow,NCM,-0.4,3.795247982
D1_NCM_TRIAL1_B,4,D1,NCM,1,B,D1,0.533333333,0.352941176,0.639940473,0.43340494,-0.228222708,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.58,ok?,-0.4399,3.00E-04,0.0018578,NA,Bad,N,N,Inverted and fat,0.174142857,0.319571429,0.247142857,-0.025857143,0.119571429,0.047142857,0.03,0.560789938,N,0.000681973,Broad,Broad,NCM,-0.180392157,0.620284506
D1_NCM_TRIAL2_A,4,D1,NCM,2,A,D1,5.133333333,4.470588235,2.669046557,3.435731525,-0.165674241,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.68,x,0.37,-0.1172,0.00072,NA,Good,N,N,,0.148285714,0.362357143,0.173785714,-0.051714286,0.162357143,-0.026214286,0.12,0.460211098,N,0.316756757,Broad,Broad,NCM,-0.662745098,16.11324875
D1_NCM_TRIAL3_A,4,D1,NCM,3,A,D1,1.466666667,1.490196078,0.915475416,0.885614886,0.023676213,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.78,ok,0.4129,-0.0572,0.00126,NA,Bad,N,N,,0.148785714,0.306214286,0.289071429,-0.051214286,0.106214286,0.089071429,0.375,0.931983712,N,0.138532332,Broad,Broad,NCM,0.023529411,1.022745098
D1_NCM_TRIAL4_A,4,D1,NCM,4,A,D1,2.666666667,1.882352941,1.838736626,1.559497238,-0.515348518,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.88,ok,0.4125,-0.0352,0.00029996,NA,Bad,N,N,,0.117571429,0.213428571,0.149571429,-0.082428571,0.013428571,-0.050428571,NA,0.168823242,N,0.085333333,NS1,Narrow,NCM,-0.784313726,2.523490965
D1_NCM_TRIAL5_A,4,D1,NCM,5,A,D1,2.666666667,2.62745098,2.023669463,2.154059803,-0.015348383,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,L,1.88,x,0.3144,-0.0592,0.00126,NA,Bad,N,N,Low S:N,0.158928571,0.267642857,0.281142857,-0.041071429,0.067642857,0.081142857,NA,0.977340078,N,0.188295165,Broad,Broad,NCM,-0.039215687,6.636524413
D1_NCM_TRIAL7_A,4,D1,NCM,7,A,D1,1.333333333,1.274509804,1.632993162,0.865858909,-0.065449786,WN,1.7,WN_WN,WN,WN,D,normal,21,1,12.8,12/18/21,15,R,1.26,x,0.4859,-0.0845,0.001078804,NA,Bad,N,N,,0.1342,0.6842,0.3566,-0.0658,0.4842,0.1566,NA,1,N,0.173904095,Broad,Broad,NCM,-0.058823529,1.147635525
D4_FL_TRIAL10_A,3,D4,FL,10,A,D4,1.875,2.426470588,1.552647509,2.048292394,0.323707022,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,R,1.03,x,-0.4997,0.0886,0.00126,NA,Bad,N,N,Inverted; Lost spot after 461s (9 presentations/stimulus),0.133,0.58,0.268,-0.067,0.38,0.068,0.015,0.55411313,N,0.177306384,Field L,Field L,Broad,0.551470588,3.262056661
D4_FL_TRIAL10_B,3,D4,FL,10,B,D4,1.5,0.735294118,1.195228609,0.608881376,-0.687208476,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,R,1.03,ok,0.4431,-6.00E-04,0.00138,NA,Duplicate,N,N,"Inverted, Lost spot after 461s (9 presentations/stimulus)",0.127714286,0.934857143,0.466571429,-0.072285714,0.734857143,0.266571429,0.18,0.10646594,N,0.001354096,Field L,Field L,Broad,-0.764705882,1.280276817
D4_FL_TRIAL11_A,3,D4,FL,11,A,D4,0.625,2.426470588,0.744023809,1.015816589,1.332249922,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,R,1.15,x,-0.5546,0.0737,0.000224,NA,Bad,Y,N,Lost spot after436s (8 presentations/stimulus),0.240714286,0.879857143,0.287285714,0.040714286,0.679857143,0.087285714,0.29,0.029772876,Y,0.132888568,Field L,Field L,Narrow,1.801470588,1.773302336
D4_FL_TRIAL2_A,3,D4,FL,2,A,D4,2.533333333,8.862745097,1.684664726,2.709046986,2.022322761,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.07,x,-0.905,0.085,0.000311,NA,Good,N,N,Inverted,0.190357143,0.329142857,0.242785714,-0.009642857,0.129142857,0.042785714,0.065,6.10E-05,Y,0.093922652,Field L,Field L,Narrow,6.329411764,9.77568627
D4_FL_TRIAL2_B,3,D4,FL,2,B,D4,1.066666667,8.31372549,2.016597795,2.319794537,2.340716544,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.07,x,0.805,-0.4,0.00018,NA,Good,N,Y,trough before peak,0.226214286,0.3165,0.237714286,0.026214286,0.1165,0.037714286,0.01,0.000881237,Y,0.49689441,Field L,Field L,Narrow,7.247058823,9.534579007
D4_FL_TRIAL3_A,3,D4,FL,3,A,D4,3.2,12.39215686,2.336052837,3.802246303,2.186190796,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.12,x,-0.903,0.392,0.00024,NA,Good,N,N,Inverted,0.115071429,0.886428571,0.233142857,-0.084928571,0.686428571,0.033142857,0.055,6.10E-05,Y,0.434108527,Field L,Field L,Narrow,9.19215686,17.73954634
D4_FL_TRIAL3_B,3,D4,FL,3,B,D4,1.933333333,8.82352941,1.334523279,2.890316557,2.752569256,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.12,x,0.857,-0.15,0.00024,NA,Duplicate,N,Y,"Trough before peak; if firing rate doesn't fit with narrows, than the trough is actually the thing after the peak and it's a broad unit",0.142714286,0.414785714,0.193571429,-0.057285714,0.214785714,-0.006428571,0.115,0.000721126,Y,0.175029172,Field L,Field L,Narrow,6.890196077,6.478831212
D4_FL_TRIAL4_A,3,D4,FL,4,A,D4,1.4,4.509803922,0.736788398,1.27073347,1.95977757,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.17,ok,-0.917,0.467,0.000419993,NA,Good,N,N,,0.171,0.3095,0.185642857,-0.029,0.1095,-0.014357143,0.11,0.000722919,Y,0.509269357,Field L,Field L,Broad,3.109803922,2.484367551
D4_FL_TRIAL4_B,3,D4,FL,4,B,D4,0.8,4.156862745,1.014185106,1.563717807,1.869142029,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.17,ok,0.838,-0.051,0.00066,NA,Good,N,N,,0.192071429,0.251428571,0.212571429,-0.007928571,0.051428571,0.012571429,0.075,0.000715765,Y,0.060859189,Field L,Field L,Broad,3.356862745,3.226512879
D4_FL_TRIAL6_A,3,D4,FL,6,A,D4,1.733333333,6.078431373,1.533747356,1.643854426,2.082473428,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.27,x,0.501,-0.0058,0.00054,NA,Bad,N,N,,0.278461538,0.235692308,0.287384615,0.078461538,0.035692308,0.087384615,0.065,0.000887625,Y,0.011576846,Field L,Field L,Broad,4.34509804,4.377793156
D4_FL_TRIAL6_B,3,D4,FL,6,B,D4,0.8,4.784313726,0.941123948,1.845043415,1.756250369,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.27,ok,-0.5186,0.0384,0.00024,NA,Bad,N,N,,0.387384615,0.204153846,0.376923077,0.187384615,0.004153846,0.176923077,0.085,0.000885492,Y,0.074045507,Field L,Field L,Narrow,3.984313726,5.070572857
D4_FL_TRIAL7_A,3,D4,FL,7,A,D4,1.4,4.627450981,1.4040757,2.048191837,2.287470583,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.32,ok,-0.5699,0.0601,0.001147,NA,Duplicate,N,N,,0.290214286,0.199214286,0.284285714,0.090214286,-0.000785714,0.084285714,0.12,0.000710431,Y,0.105457098,Field L,Field L,Broad,3.227450981,2.241691657
D4_FL_TRIAL7_B,3,D4,FL,7,B,D4,2.066666667,4.745098039,2.520393015,2.807611527,0.942176905,WN,1.7,WN_WN,WN,WN,D,normal,22,2,12.3,12/19/21,15,L,1.32,x,0.5548,-0.0067,0.001259,NA,Good,N,N,,0.212571429,0.207357143,0.208928571,0.012571429,0.007357143,0.008928571,0.065,0.0114734,Y,0.012076424,Field L,Field L,Broad,2.678431372,8.428542869
