Unit2,Stimulus,ID.x,Region,Trial,Letter,StimSet,base_fr,stim_fr,basesd,stimsd,Z_score,stimID,Duration.s,FamUnfamSpecies,Species,FamUnfam,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Depth,ISI.check,Peak_V,Trough_V,Peak.to.Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes,Accuracy.rcorr,Accuracy.count,Accuracy.cross_corr,normal_rcorr,normal_count,normal_cross_corr,Latency,p.value,sigYN,Peak2PeakRatio,Type0,TypeBN,TypeFL,RS_WN,pop_var_WN
A2_NCM_TRIAL2_A,3,A2,NCM,2,A,A2,3.076923077,3.303167421,3.882901374,3.099079574,0.062420578,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.24,x,0.3594,0.0343,0.000899996,NA,Good,N,N,,0.1055,0.54575,0.195875,-0.0945,0.34575,-0.004125,0.025,0.575987029,N,0.095436839,Broad,Broad,NCM,0.226244344,13.879077
A2_NCM_TRIAL2_B,3,A2,NCM,2,B,A2,2.153846154,2.352941176,5.193684528,2.641606585,0.03755479,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.24,x,-0.3945,0.0247,0.001259966,NA,Good,N,N,Inverted; might not be auditory,0.180875,0.270875,0.300125,-0.019125,0.070875,0.100125,NA,0.307119032,N,0.0626109,Broad,Broad,NCM,0.199095022,28.3542925
A2_NCM_TRIAL3_B,3,A2,NCM,3,B,A2,5.9,5.352941176,4.357624225,3.974640875,-0.148796106,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.44,x,0.2604,-0.0164,0.001259995,NA,Bad,N,N,,0.168444444,0.411333333,0.205222222,-0.031555556,0.211333333,0.005222222,0.135,1,N,0.062980031,Broad,Broad,NCM,-0.547058824,15.29622837
A2_NCM_TRIAL6_A,3,A2,NCM,6,A,A2,8.692307692,5.656108597,8.750091575,3.080414575,-0.339091663,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.02,x,0.26941,-0.04681,0.000479849,NA,Good,N,N,,0.141454545,0.401818182,0.179545455,-0.058545455,0.201818182,-0.020454545,NA,0.497314453,N,0.173750046,Broad,Broad,NCM,-3.036199095,80.11580435
A2_NCM_TRIAL7_A,3,A2,NCM,7,A,A2,12.73333333,7.882352941,13.25824092,5.010123217,-0.370269979,WN,1.7,WN_WN,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,0.97,x,0.28998,-0.04797,0.000839939,NA,Bad,N,N,,0.178125,0.51225,0.1995,-0.021875,0.31225,-5.00E-04,NA,0.20118884,N,0.165425202,Broad,Broad,NCM,-4.850980389,172.6979777
A3_FL_TRIAL1_A,3,A3,FL,1,A,A3,3.133333333,11.41176471,2.669046557,5.083582174,1.662830191,WN,1.7,WN_WN,WN,WN,A,normal,20,3,11.7,5/16/21,15,L,1.73,x,-0.535,0.244,0.00018,NA,Good,N,N,Drifted into the spot so first presentations not great,0.160285714,0.201928571,0.182071429,-0.039714286,0.001928571,-0.017928571,0.035,0.000724715,Y,0.456074766,Field L,Field L,Narrow,8.278431377,25.18452903
A3_FL_TRIAL2_A,3,A3,FL,2,A,A3,0.636363636,2.673796791,0.809039835,1.157602712,1.698491158,WN,1.7,WN_WN,WN,WN,A,normal,20,3,11.7,5/16/21,15,L,1.79,x,-1.041,0.135,0.001019988,NA,Good,N,N,Inverted,0.166571429,0.206285714,0.223285714,-0.033428571,0.006285714,0.023285714,0.01,0.0038398,Y,0.129682997,Field L,Field L,Broad,2.037433155,1.472961767
A3_FL_TRIAL3_A,3,A3,FL,3,A,A3,2.45,6.294117647,3.410124245,3.366195086,1.156064807,WN,1.7,WN_WN,WN,WN,A,normal,20,3,11.7,5/16/21,20,L,1.64,ok,-0.717,0.313,0.00018,NA,Bad,N,N,Inverted; Low S:N,0.259894737,0.324,0.269473684,0.059894737,0.124,0.069473684,0.03,0.000480833,Y,0.436541144,Field L,Field L,Narrow,3.844117647,11.59455883
A3_FL_TRIAL4_A,3,A3,FL,4,A,A3,0.75,1.617647059,1.069923755,1.829312711,0.465302091,WN,1.7,WN_WN,WN,WN,A,normal,20,3,11.7,5/16/21,20,L,1.49,x,-0.942,0.161,0.000420001,NA,Good,N,N,Inverted,0.163117647,0.322470588,0.213647059,-0.036882353,0.122470588,0.013647059,0.045,0.046062879,Y,0.170912951,Field L,Field L,Broad,0.867647059,3.516565744
A3_NCM_TRIAL1_A,3,A3,NCM,1,A,A3,2,1.960784314,1.812653934,1.034899339,-0.019057524,WN,1.7,WN_WN,WN,WN,A,normal,20,3,11.7,5/16/21,15,L,1,x,0.3605,-0.0821,0.000360008,NA,Good,N,N,,0.312142857,0.882285714,0.375071429,0.112142857,0.682285714,0.175071429,0.055,1,N,0.227739251,NS1,Narrow,NCM,-0.039215686,4.223144945
