ID.x,Region,Trial,Letter,Stimulus,Unit2,StimSet,base_fr,stim_fr,basesd,stimsd,Z_score,stimID,Duration.s,Species,FamUnfam,Clutch,Treatment,Age,DaysPostFledge,Mass,Date,No_reps,Hemisphere,Depth,ISI.check,Peak_V,Trough_V,Peak.to.Peak_s,Type,Quality,Exclude4PC,TroughBeforePeak,Notes,Accuracy.rcorr,Accuracy.count,Accuracy.cross_corr,normal_rcorr,normal_count,normal_cross_corr,Latency,p.value,sigYN,Peak2PeakRatio
A2,FL,2,A,5,A2_FL_TRIAL2_A,A2,6.888888889,17.96360821,3.218867986,2.169749324,2.72788803,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,R,1.22,x,-0.774,0.001,0.000240002,NA,Good,N,N,Inverted,0.841,0.552,0.844375,0.641,0.352,0.644375,0.245,0.00390625,Y,0.00129199
A2,FL,2,B,1,A2_FL_TRIAL2_B,A2,3.714285714,12.55252101,3.049049573,4.490847442,2.170509502,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,R,1.22,x,0.733,0.06,0.001020065,NA,Good,N,N,,0.636375,0.504,0.680625,0.436375,0.304,0.480625,0.01,0.00012207,Y,0.081855389
A2,FL,2,B,2,A2_FL_TRIAL2_B,A2,3.785714286,10.96345515,1.968153036,3.062028982,2.100256157,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,R,1.22,x,0.733,0.06,0.001020065,NA,Good,N,N,,0.861625,0.699375,0.8645,0.661625,0.499375,0.6645,0.045,0.00109394,Y,0.081855389
A2,FL,2,B,3,A2_FL_TRIAL2_B,A2,6,6.28959276,8.582928793,4.134312322,0.030417717,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.22,x,0.733,0.06,0.001020065,NA,Good,N,N,,0.101375,0.73575,0.20475,-0.098625,0.53575,0.00475,NA,0.100421328,N,0.081855389
A2,FL,2,B,4,A2_FL_TRIAL2_B,A2,2.833333333,19.52736318,2.367712104,4.520748046,5.318579829,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,R,1.22,x,0.733,0.06,0.001020065,NA,Good,N,N,,0.783875,0.30075,0.695625,0.583875,0.10075,0.495625,0.01,0.002516497,Y,0.081855389
A2,FL,2,B,5,A2_FL_TRIAL2_B,A2,5,16.2601626,2.549509757,2.395074406,4.439099307,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,R,1.22,x,0.733,0.06,0.001020065,NA,Good,N,N,,0.95375,0.685375,0.94925,0.75375,0.485375,0.74925,0.24,0.009090698,Y,0.081855389
A2,FL,3,A,1,A2_FL_TRIAL3_A,A2,0.714285714,8.508403361,0.913873533,2.171954117,3.606251419,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,R,1.38,x,0.692,-0.159,0.00018,NA,Good,N,Y,Trough before peak,0.444111111,0.445,0.369222222,0.244111111,0.245,0.169222222,0.065,0.001090835,Y,0.229768786
A2,FL,3,A,2,A2_FL_TRIAL3_A,A2,0.923076923,5.080500895,1.497861724,1.874573814,2.234973582,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,R,1.38,x,0.692,-0.159,0.00018,NA,Good,N,Y,Trough before peak,0.276111111,0.436666667,0.384,0.076111111,0.236666667,0.184,0.04,0.001650813,Y,0.229768786
A2,FL,3,A,3,A2_FL_TRIAL3_A,A2,1.4,3.176470588,1.505545305,2.256180371,1.091800848,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,R,1.38,x,0.692,-0.159,0.00018,NA,Good,N,Y,Trough before peak,0.138111111,0.356555556,0.231111111,-0.061888889,0.156555556,0.031111111,0.04,0.014369289,Y,0.229768786
A2,FL,3,A,4,A2_FL_TRIAL3_A,A2,0.785714286,10.12793177,1.121713759,2.530115503,4.580216583,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,R,1.38,x,0.692,-0.159,0.00018,NA,Good,N,Y,Trough before peak,0.619666667,0.302888889,0.569666667,0.419666667,0.102888889,0.369666667,0.01,0.001087736,Y,0.229768786
A2,FL,3,A,5,A2_FL_TRIAL3_A,A2,1.1,8.222996516,1.449137675,2.117519197,2.316341778,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,R,1.38,x,0.692,-0.159,0.00018,NA,Good,N,Y,Trough before peak,0.580555556,0.515111111,0.548444444,0.380555556,0.315111111,0.348444444,0.19,0.001953125,Y,0.229768786
A2,FL,4,A,1,A2_FL_TRIAL4_A,A2,4.210526316,11.02941176,2.439921387,3.342691593,1.659740528,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,20,R,1.47,x,-0.755,0.29,0.000180001,NA,Good,N,N,Inverted,0.455583333,0.281833333,0.410083333,0.255583333,0.081833333,0.210083333,0.045,1.14E-05,Y,0.38410596
A2,FL,4,A,2,A2_FL_TRIAL4_A,A2,3.55,8.767441861,2.114486375,1.689008921,1.867298647,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,20,R,1.47,x,-0.755,0.29,0.000180001,NA,Good,N,N,Inverted,0.261166667,0.244083333,0.33375,0.061166667,0.044083333,0.13375,0.095,3.81E-06,Y,0.38410596
A2,FL,4,A,3,A2_FL_TRIAL4_A,A2,3.157894737,4.829721362,1.675415633,1.693315753,0.678542141,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,20,R,1.47,x,-0.755,0.29,0.000180001,NA,Good,N,N,Inverted,0.264666667,0.615083333,0.32275,0.064666667,0.415083333,0.12275,0.345,0.018540442,Y,0.38410596
A2,FL,4,A,4,A2_FL_TRIAL4_A,A2,3,11.64179104,1.946657054,3.056874137,2.816600709,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,20,R,1.47,x,-0.755,0.29,0.000180001,NA,Good,N,N,Inverted,0.6125,0.361333333,0.528833333,0.4125,0.161333333,0.328833333,0.04,9.54E-05,Y,0.38410596
A2,FL,4,A,5,A2_FL_TRIAL4_A,A2,2.230769231,10.93540606,1.423250163,1.338469452,4.969720284,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,20,R,1.47,x,-0.755,0.29,0.000180001,NA,Good,N,N,Inverted,0.57025,0.484416667,0.554333333,0.37025,0.284416667,0.354333333,0.24,0.000244141,Y,0.38410596
A2,FL,5,A,1,A2_FL_TRIAL5_A,A2,1.928571429,12.07983193,1.439245834,4.27497482,2.783306844,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,0.672,-0.201,0.000179998,NA,Good,N,N,Higher peak was after lower peak,0.800727273,0.559181818,0.739727273,0.600727273,0.359181818,0.539727273,0.04,0.00109394,Y,0.299107143
A2,FL,5,A,2,A2_FL_TRIAL5_A,A2,1.666666667,7.968992248,1.718249386,2.485322233,2.812544153,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,0.672,-0.201,0.000179998,NA,Good,N,N,Higher peak was after lower peak,0.561,0.513909091,0.593454545,0.361,0.313909091,0.393454545,0.09,0.000721126,Y,0.299107143
A2,FL,5,A,3,A2_FL_TRIAL5_A,A2,1.533333333,2.352941176,1.641718032,0.969122907,0.410812844,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,0.672,-0.201,0.000179998,NA,Good,N,N,Higher peak was after lower peak,0.076454545,0.829909091,0.115545455,-0.123545455,0.629909091,-0.084454545,0.385,0.221668335,N,0.299107143
A2,FL,5,A,4,A2_FL_TRIAL5_A,A2,2.333333333,13.93034826,2.023669463,4.170973917,3.560868326,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,0.672,-0.201,0.000179998,NA,Good,N,N,Higher peak was after lower peak,0.423727273,0.314181818,0.348363636,0.223727273,0.114181818,0.148363636,0.01,0.000724715,Y,0.299107143
A2,FL,5,A,5,A2_FL_TRIAL5_A,A2,3.5,11.67247387,7.810249676,4.083701531,1.429462415,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,0.672,-0.201,0.000179998,NA,Good,N,N,Higher peak was after lower peak,0.867545455,0.578909091,0.829272727,0.667545455,0.378909091,0.629272727,0.25,0.004882813,Y,0.299107143
A2,FL,5,B,1,A2_FL_TRIAL5_B,A2,2.142857143,13.60294118,2.507132682,5.530708305,2.872682651,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,-0.85,0.357,0.000120009,NA,Good,N,N,Inverted,0.607090909,0.351,0.587545455,0.407090909,0.151,0.387545455,0.05,0.00012207,Y,0.42
A2,FL,5,B,2,A2_FL_TRIAL5_B,A2,1.266666667,8.775193799,1.437590577,4.073293838,2.211080918,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,-0.85,0.357,0.000120009,NA,Good,N,N,Inverted,0.417454545,0.459909091,0.500545455,0.217454545,0.259909091,0.300545455,0.07,6.10E-05,Y,0.42
A2,FL,5,B,3,A2_FL_TRIAL5_B,A2,1.8,2.980392157,2.077085871,1.714505396,0.625594045,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,-0.85,0.357,0.000120009,NA,Good,N,N,Inverted,0.095363636,0.597363636,0.163181818,-0.104636364,0.397363636,-0.036818182,0.015,0.053329979,N,0.42
A2,FL,5,B,4,A2_FL_TRIAL5_B,A2,1.866666667,16.46766169,1.684664726,7.427779054,2.256522557,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,-0.85,0.357,0.000120009,NA,Good,N,N,Inverted,0.734363636,0.596272727,0.630363636,0.534363636,0.396272727,0.430363636,0.03,6.10E-05,Y,0.42
A2,FL,5,B,5,A2_FL_TRIAL5_B,A2,2.583333333,13.1533101,4.399552319,5.519452117,1.822198403,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,L,1.39,x,-0.85,0.357,0.000120009,NA,Good,N,N,Inverted,0.549545455,0.308,0.569727273,0.349545455,0.108,0.369727273,0.115,0.000976563,Y,0.42
A2,FL,6,A,1,A2_FL_TRIAL6_A,A2,4.076923077,7.57918552,2.596842264,2.741122417,1.087066768,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,0.7,-0.042,0.001259771,NA,Good,N,N,,0.468090909,0.232909091,0.398454545,0.268090909,0.032909091,0.198454545,0.04,0.001708984,Y,0.06
A2,FL,6,A,2,A2_FL_TRIAL6_A,A2,5.916666667,6.201550388,6.287915297,2.526876687,0.043445313,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,0.7,-0.042,0.001259771,NA,Good,N,N,,0.611909091,0.473454545,0.628181818,0.411909091,0.273454545,0.428181818,0.06,0.301269531,N,0.06
A2,FL,6,A,3,A2_FL_TRIAL6_A,A2,6.923076923,3.393665158,5.235480533,2.391278923,-0.819599075,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,0.7,-0.042,0.001259771,NA,Good,N,N,,0.133636364,0.453727273,0.246272727,-0.066363636,0.253727273,0.046272727,NA,0.032714844,Y,0.06
A2,FL,6,A,4,A2_FL_TRIAL6_A,A2,4.666666667,9.004975124,3.177300441,2.561447164,1.083110983,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,0.7,-0.042,0.001259771,NA,Good,N,N,,0.536636364,0.253545455,0.505818182,0.336636364,0.053545455,0.305818182,0.04,0.002624512,Y,0.06
A2,FL,6,A,5,A2_FL_TRIAL6_A,A2,4.916666667,5.807200929,4.776045023,2.254837012,0.292856404,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,0.7,-0.042,0.001259771,NA,Good,N,N,,0.333090909,0.267454545,0.341090909,0.133090909,0.067454545,0.141090909,0.265,0.052246094,N,0.06
A2,FL,6,B,1,A2_FL_TRIAL6_B,A2,4.461538462,6.052036199,2.75727476,2.670677685,0.419365363,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,-0.865,0.114,0.001019992,NA,Good,N,N,Inverted,0.477,0.300636364,0.439727273,0.277,0.100636364,0.239727273,0.14,0.208273894,N,0.131791908
A2,FL,6,B,2,A2_FL_TRIAL6_B,A2,4.166666667,5.07751938,3.298300756,2.849682031,0.248571423,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,-0.865,0.114,0.001019992,NA,Good,N,N,Inverted,0.500181818,0.308363636,0.561909091,0.300181818,0.108363636,0.361909091,0.09,0.266113281,N,0.131791908
A2,FL,6,B,3,A2_FL_TRIAL6_B,A2,2.461538462,3.665158371,2.22168797,2.75021071,0.649089468,WN,1.7,WN,WN,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,-0.865,0.114,0.001019992,NA,Good,N,N,Inverted,0.128,0.324363636,0.161545455,-0.072,0.124363636,-0.038454545,NA,0.065257257,N,0.131791908
A2,FL,6,B,4,A2_FL_TRIAL6_B,A2,4.066666667,6.417910448,3.731462116,3.782169825,0.622703316,BR90,1.34,BEFI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,-0.865,0.114,0.001019992,NA,Good,N,N,Inverted,0.334454545,0.285272727,0.241636364,0.134454545,0.085272727,0.041636364,0.02,0.055358887,N,0.131791908
A2,FL,6,B,5,A2_FL_TRIAL6_B,A2,3.583333333,5.952380953,2.778434266,3.476260343,1.115934384,P192P193,2.87,ZEBI,Father,A,xfostered,23,2,9.6,5/22/21,15,L,1.44,x,-0.865,0.114,0.001019992,NA,Good,N,N,Inverted,0.420272727,0.283363636,0.458909091,0.220272727,0.083363636,0.258909091,0.235,0.009277344,Y,0.131791908
A2,FL,7,A,1,A2_FL_TRIAL7_A,A2,0.6,2.156862745,0.828078671,1.057051895,1.565029392,ALP47,1.36,ZEBI,Unfamiliar,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,0.772,-0.03,0.001259961,NA,Bad,N,N,,0.388875,0.267,0.33475,0.188875,0.067,0.13475,0.19,0.001073958,Y,0.038860104
A2,FL,7,A,2,A2_FL_TRIAL7_A,A2,0.692307692,1.288014311,0.947330933,0.952331424,0.408677668,DB22P31,2.15,BEFI,FosterFather,A,xfostered,23,2,9.6,5/22/21,15,L,1.54,x,0.772,-0.03,0.001259961,NA,Bad,N,N,,0.358,0.249875,0.365125,0.158,0.049875,0.165125,0.05,0.169646283,N,0.038860104
