"Unit2","Stimulus","ID.x","Region","Trial","Letter","StimSet","base_fr","stim_fr","basesd","stimsd","Z_score","stimID","Duration.s","FamUnfamSpecies","Species","FamUnfam","Clutch","Treatment","Age","DaysPostFledge","Mass","Date","No_reps","Hemisphere","Depth","ISI.check","Peak_V","Trough_V","Peak.to.Peak_s","Type","Quality","Exclude4PC","TroughBeforePeak","Notes","Accuracy.rcorr","Accuracy.count","Accuracy.cross_corr","normal_rcorr","normal_count","normal_cross_corr","Latency","p.value","sigYN","Peak2PeakRatio","Type0","TypeBN","TypeFL","RS_befi","pop_var_befi","RS_zebi","pop_var_zebi","dprime"
"A2_FL_TRIAL7_A",4,"A2","FL",7,"A","A2",0.538461538,2.468427095,0.967417922,1.375532441,0.980630303,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"L",1.54,"x",0.772,-0.03,0.001259961,NA,"Bad","N","N","",0.479,0.181375,0.41075,0.279,-0.018625,0.21075,0.01,0.009605267,"Y",0.038860104,"Field L","Field L","Broad",1.929965557,3.77621826402057,1.556862745,1.03580930432201,-0.340168789463387
"A2_FL_TRIAL7_B",4,"A2","FL",7,"B","A2",0.384615385,2.066590126,0.506369684,1.527994449,1.318860362,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"L",1.54,"x",-1.054,0.157,0.000359963,NA,"Bad","N","N","Inverted",0.501125,0.51,0.451875,0.301125,0.31,0.251875,NA,0.004990659,"Y",0.148956357,"Field L","Field L","Narrow",1.681974741,1.68532942472341,0.678431373,1.18748173793364,-1.18416603730753
"A2_NCM_TRIAL1_A",4,"A2","NCM",1,"A","A2",11.23076923,33.7543054,3.539158237,7.40746889,3.764105769,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"R",1.14,"x",0.4347,-0.131,0.000179999,NA,"Good","Y","N","",0.988,0.822666667,0.968,0.788,0.622666667,0.768,0.03,0.000244141,"Y",0.301357258,"NS1","Narrow","NCM",22.52353617,37.8367449141034,22.53743315,23.3905459042506,0.00355204048063656
"A2_NCM_TRIAL2_A",4,"A2","NCM",2,"A","A2",4.25,13.12189055,4.55521679,9.170072739,1.264086457,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"R",1.24,"x",0.3594,0.0343,0.000899996,NA,"Good","N","N","",0.5475,0.19575,0.42925,0.3475,-0.00425,0.22925,0.04,0.003251806,"Y",0.095436839,"Broad","Broad","NCM",8.87189055,53.162005581295,3.640756303,14.1491817374409,-1.2752115439119
"A2_NCM_TRIAL2_B",4,"A2","NCM",2,"B","A2",2.416666667,5.348258707,4.907477288,3.681255868,0.551712399,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"R",1.24,"x",-0.3945,0.0247,0.001259966,NA,"Good","N","N","Inverted; might not be auditory",0.318625,0.397875,0.477,0.118625,0.197875,0.277,0.025,0.107530921,"N",0.0626109,"Broad","Broad","NCM",2.93159204,28.7566072040698,2.279411765,8.0073838350959,-0.215122744266499
"A2_NCM_TRIAL3_B",4,"A2","NCM",3,"B","A2",7.285714286,11.72707889,4.9369653,4.714627937,0.846516046,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"R",1.44,"x",0.2604,-0.0164,0.001259995,NA,"Bad","N","N","",0.438444444,0.312444444,0.433333333,0.238444444,0.112444444,0.233333333,0.095,0.010039381,"Y",0.062980031,"Broad","Broad","NCM",4.441364604,28.6519019177701,0.642857142,9.1496363218331,-1.23562942855292
"A2_NCM_TRIAL6_A",4,"A2","NCM",6,"A","A2",6.533333333,11.49253731,3.997618339,5.639850299,0.840468696,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"L",1.02,"x",0.26941,-0.04681,0.000479849,NA,"Good","N","N","",0.448,0.186818182,0.357636364,0.248,-0.013181818,0.157636364,0.135,0.012451172,"Y",0.173750046,"Broad","Broad","NCM",4.959203977,35.4686111673227,3.457013575,31.6648410275315,-0.366678535604091
"A2_NCM_TRIAL7_A",4,"A2","NCM",7,"A","A2",10.23076923,16.07347876,8.166535844,5.631035779,0.757040895,"BR90",1.34,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","xfostered",23,2,9.6,"5/22/21",15,"L",0.97,"x",0.28998,-0.04797,0.000839939,NA,"Bad","N","N","",0.778,0.359875,0.70375,0.578,0.159875,0.50375,0.11,0.013427734,"Y",0.165425202,"Broad","Broad","NCM",5.84270953,61.9699647230383,4.10196078,28.7522337648382,-0.36551845104528
"A3_FL_TRIAL1_A",1,"A3","FL",1,"A","A3",3.666666667,10.2676399,2.497617913,5.589453663,1.531575666,"LP80",1.37,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,3,11.7,"5/16/21",15,"L",1.73,"x",-0.535,0.244,0.00018,NA,"Good","N","N","Drifted into the spot so first presentations not great",0.235714286,0.276571429,0.199285714,0.035714286,0.076571429,-0.000714286,0.035,0.000305176,"Y",0.456074766,"Field L","Field L","Narrow",6.600973233,19.6691684316305,9.37171717,26.5768554239203,0.814871610914582
"A3_FL_TRIAL2_A",1,"A3","FL",2,"A","A3",0.727272727,3.450564035,0.786245393,1.790655681,2.185579914,"LP80",1.37,"Unfamiliar_BEFI","BEFI","Unfamiliar","A","normal",20,3,11.7,"5/16/21",15,"L",1.79,"x",-1.041,0.135,0.001019988,NA,"Good","N","N","Inverted",0.758714286,0.477571429,0.618,0.558714286,0.277571429,0.418,0.01,0.003822354,"Y",0.129682997,"Field L","Field L","Broad",2.723291308,1.72752415250807,3.398989899,3.51726864560088,0.59009079663557
